Courses,Specialization,Brand University,Course Fees,Subsidy Cashback on Full Payment,Accredations,Brouchure Link,Landing Page Link,Website
Online mba,Finance Management,Jain University Online,"49,000 / Semester",8000 Full payment,"UGC, AICTE, AIU, NIRF, WES, NAAC A++, QS World University Rankings, AUAP",https://d1aeya7jd2fyco.cloudfront.net/upload_file/jain-online-overall-brochure.pdf,https://onlinejain.com/,https://onlinejain.com/
,Finance Management,Amity University Online,49750 / Semester,8000 Full payment,"UGC-DEB, AICTE, NAAC A+, WES, AIU, ACU, QS World Rankings",https://d1aeya7jd2fyco.cloudfront.net/upload_file/Amity_online_Prospectus.pdf,https://amityonline.com/lp-nw-amity,https://amityonline.com/h1ome
,Finance Management,D.Y. Patil University-Centre for Online Learning (DPU-COL),50000 / semester,10000 Full Payment,"UGC-DEB, AICTE, NAAC A++, NIRF, AIU, ACU, WES, ISO",https://d1aeya7jd2fyco.cloudfront.net/upload_file/DY_Patil_Prospectus_2025_Online.pdf,https://www.dypatilonline.com/onlinemba/mumbai/,https://www.dypatilonline.com/
,Finance Management,Symbiosis Online University (SSODL),74000 (Full Fee),NA,"UGC-DEB, AICTE, NAAC A+, NIRF Ranked 32",https://d1aeya7jd2fyco.cloudfront.net/upload_file/symbiosis-scdl-brochure.pdf,https://symbiosisonlinemba.ssodl.edu.in/,https://ssodl.edu.in/
,Finance Management,Chandigarh University Online,39500 / Semester,6000 Full Payment,"UGC-DEB, NAAC A+, NIRF Ranked, AICTE, Harward Business Publication Education",https://d1aeya7jd2fyco.cloudfront.net/upload_file/Brand_Brochure_-_Chandigarh_University_Online.pdf,https://apply.onlinecu.in/,https://www.onlinecu.in/
,Finance Management,UPES Online,43750 / Semester,8000 Full payment,"UGC-DEB, NAAC A, NIRF Ranked, AICTE",https://d1aeya7jd2fyco.cloudfront.net/upload_file/UPES_Online_Prospectus.pdf,https://upesonline.ac.in/brand,https://upesonline.ac.in/
,Finance Management,Parul University Online,37500 / Semester,6000 Full Payment,"UGC-DEB, NAAC A+, AICTE, NIRF Ranked",https://d1aeya7jd2fyco.cloudfront.net/upload_file/Parul_University_OL_and_ODL_Brochure.pdf,https://paruluniversity.online/onlineprograms/,https://paruluniversity.online/
,Finance Management,SRM University Online,42500 / Semester,NA,"UGC-DEB, NAAC A++, AICTE, NIRF Ranked",https://d1aeya7jd2fyco.cloudfront.net/upload_file/srm-online-university-brochure.pdf,https://admissions.srmuniversity.ac.in/,https://www.srmonline.in/
,Finance Management,Manav Rachna University Online,32000 / Semester,NA,"UGC-DEB, NAAC A, AICTE, WES",https://d1aeya7jd2fyco.cloudfront.net/upload_file/Manav-Rachna-brochure-latest_15-June.pdf,https://apply.manavrachnaonline.com/,https://manavrachnaonline.com/
,Finance Management,Manipal University Jaipur (Online Manipal),43750 / Semester,NA,"UGC, NIRF, NAAC A++, QS World University Rankings, AICTE, NBA",https://d1aeya7jd2fyco.cloudfront.net/upload_file/MUJ-International-Combined-brochure.pdf,https://www.onlinemanipal.com/muj-online-degree-courses,https://www.onlinemanipal.com/
